derived__avg_thread_executed_true [thread],"1,859 {72}"
derived__memory_l1_conflicts_shared_nway,0 {72}
derived__memory_l1_wavefronts_shared_excessive,0
derived__memory_l2_theoretical_sectors_global_excessive [byte],0 {10}
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],64
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],"4,096"
derived__smsp__inst_executed_op_branch_pct [%],0.02
derived__smsp__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],0
derived__smsp__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],0
device__attribute_architecture,368
device__attribute_async_engine_count,2
device__attribute_can_flush_remote_writes,0
device__attribute_can_map_host_memory,1
device__attribute_can_tex2d_gather,1
device__attribute_can_use_64_bit_stream_mem_ops,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,0
device__attribute_can_use_host_pointer_for_registered_mem,1
device__attribute_can_use_stream_mem_ops_v1,0
device__attribute_can_use_stream_wait_value_nor,1
device__attribute_can_use_stream_wait_value_nor_v1,0
device__attribute_chip,375
device__attribute_clock_rate,"15,00,000"
device__attribute_cluster_launch,0
device__attribute_compute_capability_major,8
device__attribute_compute_capability_minor,6
device__attribute_compute_mode,0
device__attribute_compute_preemption_supported,1
device__attribute_concurrent_kernels,1
device__attribute_concurrent_managed_access,1
device__attribute_confidential_computing_mode,No-CC
device__attribute_cooperative_launch,1
device__attribute_cooperative_multi_device_launch,1
device__attribute_deferred_mapping_cuda_array_supported,1
device__attribute_device_index,0
device__attribute_direct_managed_mem_access_from_host,0
device__attribute_display_name,NVIDIA GeForce RTX 3050 Laptop GPU
device__attribute_dma_buf_supported,0
device__attribute_ecc_enabled,0
device__attribute_fb_bus_width,128
device__attribute_fbp_count,2
device__attribute_generic_compression_supported,1
device__attribute_global_l1_cache_supported,1
device__attribute_global_memory_bus_width,128
device__attribute_gpu_direct_rdma_flush_writes_options,1
device__attribute_gpu_direct_rdma_supported,0
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,0
device__attribute_gpu_direct_rdma_writes_ordering,0
device__attribute_gpu_overlap,1
device__attribute_gpu_pci_device_id,"63,15,74,750"
device__attribute_gpu_pci_ext_device_id,"9,637"
device__attribute_gpu_pci_ext_downstream_link_rate,"16,000"
device__attribute_gpu_pci_ext_downstream_link_width,16
device__attribute_gpu_pci_ext_gen,3
device__attribute_gpu_pci_ext_gpu_gen,3
device__attribute_gpu_pci_ext_gpu_link_rate,"16,000"
device__attribute_gpu_pci_ext_gpu_link_width,16
device__attribute_gpu_pci_revision_id,161
device__attribute_gpu_pci_sub_system_id,"34,05,29,219"
device__attribute_handle_type_posix_file_descriptor_supported,1
device__attribute_handle_type_win32_handle_supported,0
device__attribute_handle_type_win32_kmt_handle_supported,0
device__attribute_host_native_atomic_supported,0
device__attribute_host_numa_id,0
device__attribute_host_register_supported,1
device__attribute_implementation,375
device__attribute_integrated,0
device__attribute_ipc_event_supported,1
device__attribute_kernel_exec_timeout,1
device__attribute_l2_cache_size,"15,72,864"
device__attribute_l2s_count,16
device__attribute_limits_max_cta_per_sm,16
device__attribute_local_l1_cache_supported,1
device__attribute_managed_memory,1
device__attribute_max_access_policy_window_size,"13,42,13,632"
device__attribute_max_block_dim_x,"1,024"
device__attribute_max_block_dim_y,"1,024"
device__attribute_max_block_dim_z,64
device__attribute_max_blocks_per_multiprocessor,16
device__attribute_max_gpu_frequency_khz,"15,00,000"
device__attribute_max_grid_dim_x,"2,14,74,83,647"
device__attribute_max_grid_dim_y,"65,535"
device__attribute_max_grid_dim_z,"65,535"
device__attribute_max_ipc_per_multiprocessor,4
device__attribute_max_ipc_per_scheduler,1
device__attribute_max_mem_frequency_khz,"60,01,000"
device__attribute_max_persisting_l2_cache_size,"10,81,344"
device__attribute_max_pitch,"2,14,74,83,647"
device__attribute_max_registers_per_block,"65,536"
device__attribute_max_registers_per_multiprocessor,"65,536"
device__attribute_max_registers_per_thread,255
device__attribute_max_shared_memory_per_block,"49,152"
device__attribute_max_shared_memory_per_block_optin,"1,01,376"
device__attribute_max_shared_memory_per_multiprocessor,"1,02,400"
device__attribute_max_threads_per_block,"1,024"
device__attribute_max_threads_per_multiprocessor,"1,536"
device__attribute_max_warps_per_multiprocessor,48
device__attribute_max_warps_per_scheduler,12
device__attribute_maximum_surface1d_layered_layers,"2,048"
device__attribute_maximum_surface1d_layered_width,"32,768"
device__attribute_maximum_surface1d_width,"32,768"
device__attribute_maximum_surface2d_height,"65,536"
device__attribute_maximum_surface2d_layered_height,"32,768"
device__attribute_maximum_surface2d_layered_layers,"2,048"
device__attribute_maximum_surface2d_layered_width,"32,768"
device__attribute_maximum_surface2d_width,"1,31,072"
device__attribute_maximum_surface3d_depth,"16,384"
device__attribute_maximum_surface3d_height,"16,384"
device__attribute_maximum_surface3d_width,"16,384"
device__attribute_maximum_surfacecubemap_layered_layers,"2,046"
device__attribute_maximum_surfacecubemap_layered_width,"32,768"
device__attribute_maximum_surfacecubemap_width,"32,768"
device__attribute_maximum_texture1d_layered_layers,"2,048"
device__attribute_maximum_texture1d_layered_width,"32,768"
device__attribute_maximum_texture1d_linear_width,"26,84,35,456"
device__attribute_maximum_texture1d_mipmapped_width,"32,768"
device__attribute_maximum_texture1d_width,"1,31,072"
device__attribute_maximum_texture2d_gather_height,"32,768"
device__attribute_maximum_texture2d_gather_width,"32,768"
device__attribute_maximum_texture2d_height,"65,536"
device__attribute_maximum_texture2d_layered_height,"32,768"
device__attribute_maximum_texture2d_layered_layers,"2,048"
device__attribute_maximum_texture2d_layered_width,"32,768"
device__attribute_maximum_texture2d_linear_height,"65,000"
device__attribute_maximum_texture2d_linear_pitch,"20,97,120"
device__attribute_maximum_texture2d_linear_width,"1,31,072"
device__attribute_maximum_texture2d_mipmapped_height,"32,768"
device__attribute_maximum_texture2d_mipmapped_width,"32,768"
device__attribute_maximum_texture2d_width,"1,31,072"
device__attribute_maximum_texture3d_depth,"16,384"
device__attribute_maximum_texture3d_depth_alternate,"32,768"
device__attribute_maximum_texture3d_height,"16,384"
device__attribute_maximum_texture3d_height_alternate,"8,192"
device__attribute_maximum_texture3d_width,"16,384"
device__attribute_maximum_texture3d_width_alternate,"8,192"
device__attribute_maximum_texturecubemap_layered_layers,"2,046"
device__attribute_maximum_texturecubemap_layered_width,"32,768"
device__attribute_maximum_texturecubemap_width,"32,768"
device__attribute_mem_sync_domain_count,1
device__attribute_memory_clock_rate,"60,01,000"
device__attribute_memory_pools_supported,1
device__attribute_mempool_supported_handle_types,9
device__attribute_mps_enabled,0
device__attribute_multi_gpu_board,0
device__attribute_multi_gpu_board_group_id,0
device__attribute_multicast_supported,0
device__attribute_multiprocessor_count,16
device__attribute_num_l2s_per_fbp,8
device__attribute_num_schedulers_per_multiprocessor,4
device__attribute_num_tex_per_multiprocessor,1
device__attribute_numa_config,0
device__attribute_pageable_memory_access,1
device__attribute_pageable_memory_access_uses_host_page_tables,0
device__attribute_pci_bus_id,1
device__attribute_pci_device_id,0
device__attribute_pci_domain_id,0
device__attribute_ram_location,1
device__attribute_ram_type,17
device__attribute_reserved_shared_memory_per_block,"1,024"
device__attribute_sass_level,8
device__attribute_single_to_double_precision_perf_ratio,32
device__attribute_sparse_cuda_array_supported,1
device__attribute_stream_priorities_supported,1
device__attribute_surface_alignment,512
device__attribute_tcc_driver,0
device__attribute_tensor_map_access_supported,0
device__attribute_texture_alignment,512
device__attribute_texture_pitch_alignment,32
device__attribute_total_constant_memory,"65,536"
device__attribute_total_memory,"3,97,92,80,384"
device__attribute_unified_addressing,1
device__attribute_unified_function_pointers,0
device__attribute_virtual_address_management_supported,1
device__attribute_warp_size,32
dram__bytes.avg.peak_sustained [byte/cycle],8
dram__bytes.avg.per_second [Mbyte/s],427.78
dram__bytes.max.peak_sustained [byte/cycle],8
dram__bytes.max.per_second [Mbyte/s],462.63
dram__bytes.min.peak_sustained [byte/cycle],8
dram__bytes.min.per_second [Mbyte/s],400
dram__bytes.sum.peak_sustained [byte/cycle],32
dram__bytes.sum.per_second [Gbyte/s],1.71
dram__bytes_read.sum [Kbyte],100.61
dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],0.90
dram__bytes_read.sum.per_second [Gbyte/s],1.59
dram__bytes_write.sum [Kbyte],7.81
dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],0.07
dram__bytes_write.sum.per_second [Mbyte/s],123.23
dram__cycles_active.avg [cycle],"3,388"
dram__cycles_active.avg.pct_of_peak_sustained_elapsed [%],0.97
dram__cycles_active.max [cycle],"3,664"
dram__cycles_active.max.pct_of_peak_sustained_elapsed [%],1.05
dram__cycles_active.min [cycle],"3,168"
dram__cycles_active.min.pct_of_peak_sustained_elapsed [%],0.91
dram__cycles_active.sum [cycle],"13,552"
dram__cycles_active.sum.pct_of_peak_sustained_elapsed [%],0.97
dram__cycles_elapsed.avg [cycle],"3,48,160"
dram__cycles_elapsed.avg.per_second [Ghz],5.49
dram__cycles_elapsed.max [cycle],"3,48,160"
dram__cycles_elapsed.max.per_second [Ghz],5.49
dram__cycles_elapsed.min [cycle],"3,48,160"
dram__cycles_elapsed.min.per_second [Ghz],5.49
dram__cycles_elapsed.sum [cycle],"13,92,640"
dram__cycles_elapsed.sum.per_second [Ghz],21.98
dram__sectors_read.sum [sector],"3,144"
dram__sectors_write.sum [sector],244
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed [%],0.58
fbpa__dram_sectors.max.pct_of_peak_sustained_elapsed [%],0.59
fbpa__dram_sectors.min.pct_of_peak_sustained_elapsed [%],0.56
fbpa__dram_sectors.sum.pct_of_peak_sustained_elapsed [%],0.58
gpc__cycles_elapsed.avg [cycle],"78,339.50"
gpc__cycles_elapsed.avg.per_second [Ghz],1.24
gpc__cycles_elapsed.max.per_second [Ghz],1.24
gpc__cycles_elapsed.min [cycle],"78,334"
gpc__cycles_elapsed.min.per_second [Ghz],1.24
gpc__cycles_elapsed.sum [cycle],"1,56,679"
gpc__cycles_elapsed.sum.per_second [Ghz],2.47
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed [%],0.40
gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed [%],4.45
gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed [%],0.34
gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed [%],0.40
gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],0.24
gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed [%],0.65
